id,x,y,Floor,Occupancy,type,area,vid
158730,91.79561389,22.35614548,1,RES1,MSF1,14.3535,578
158731,91.79578046,22.35612423,1,RES1,MSF1,28.4499,578
158732,91.79579669,22.35602972,1,RES1,MSF1,73.1741,578
158733,91.79585252,22.35604052,1,RES1,MSF1,38.1072,578
158734,91.79594201,22.35610623,1,RES1,MSF1,36.8823,578
158735,91.79610817,22.35595169,1,RES1,MSF1,34.8931,578
158736,91.79630346,22.35586603,1,RES1,MSF1,13.8356,578
158737,91.79601337,22.35630214,1,RES1,MSF1,11.3693,578
158738,91.79611885,22.35625637,1,RES1,MSF1,10.8184,578
158739,91.79605513,22.35614385,1,RES1,MSF1,31.5875,578
158740,91.79613051,22.35612348,1,RES1,MSF1,76.1816,578
158741,91.79611783,22.35616852,1,RES1,MSF1,118.6254,578
158742,91.79619947,22.35619349,1,RES1,MSF1,54.8442,578
158743,91.79618962,22.35612661,1,RES1,MSF1,17.8064,578
158744,91.79628375,22.35614861,1,RES1,MSF1,13.63,578
158745,91.79630996,22.35610353,1,RES1,MSF1,31.3459,578
158746,91.79633838,22.35606369,1,RES1,MSF1,17.8064,578
158747,91.79638046,22.35603161,1,RES1,MSF1,35.9906,578
158748,91.79662375,22.35621283,1,RES1,MSF1,31.3233,578
158749,91.79654878,22.35626975,1,RES1,MSF1,59.7163,578
158750,91.79659872,22.35626435,1,RES1,MSF1,19.4572,578
158751,91.79653082,22.35622263,1,RES1,MSF1,12.2813,578
158752,91.79652294,22.35630798,1,RES1,MSF1,9.0091,578
158753,91.79663095,22.35636247,1,RES1,MSF1,34.263,578
158754,91.79665478,22.35632193,1,RES1,MSF1,29.8672,578
158755,91.79671029,22.35627687,1,RES1,MSF1,33.8686,578
158756,91.79677281,22.35620208,1,RES1,MSF1,25.244,578
158757,91.79673564,22.35616207,1,RES1,MSF1,23.2048,578
158758,91.7962764,22.35710568,1,RES1,MSF1,15.1108,578
158759,91.79643869,22.35721239,1,RES1,MSF1,16.1695,578
158760,91.79662411,22.35702929,1,RES1,MSF1,16.1695,578
158761,91.79644417,22.35681036,1,RES1,MSF1,15.5009,578
158762,91.79614904,22.356792,1,RES1,MSF1,15.5009,578
158763,91.79634048,22.35687572,1,RES1,MSF1,15.5009,578
158764,91.79626297,22.3569838,1,RES1,MSF1,15.5009,578
158765,91.79600289,22.35696939,1,RES1,MSF1,15.5009,578
158766,91.79598945,22.35709462,1,RES1,MSF1,15.5009,578
158767,91.79590823,22.35709744,1,RES1,MSF1,15.5009,578
158768,91.7955807,22.3571806,1,RES1,MSF1,26.6111,577
158769,91.79560112,22.3571238,1,RES1,MSF1,24.4494,577
158770,91.79575785,22.35704618,1,RES1,MSF1,36.1096,577
158771,91.7957036,22.3570399,1,RES1,MSF1,61.6503,577
158772,91.79570683,22.35696159,1,RES1,MSF1,216.8141,577
158773,91.79581047,22.35697763,1,RES1,MSF1,85.988,577
158774,91.79543319,22.3569304,1,RES1,MSF1,58.9556,577
158775,91.79547924,22.35689688,1,RES1,MSF1,51.8508,577
158776,91.79548916,22.35700376,1,RES1,MSF1,56.0394,577
158777,91.79552513,22.35696844,1,RES1,MSF1,67.2887,577
158778,91.79546678,22.35708662,1,RES1,MSF1,47.1982,577
158779,91.79539096,22.35700024,1,RES1,MSF1,47.1981,577
158780,91.79526464,22.35709139,1,RES1,MSF1,50.0192,577
158781,91.79530678,22.35717608,1,RES1,MSF1,27.5443,577
158782,91.79534974,22.35720459,1,RES1,MSF1,25.6894,577
158783,91.79541872,22.35728521,1,RES1,MSF1,14.2627,577
158784,91.79549571,22.35717999,1,RES1,MSF1,31.7178,577
158785,91.7955864,22.35724499,1,RES1,MSF1,37.367,577
158786,91.79547145,22.35737523,1,RES1,MSF1,371.1146,577
158787,91.7957156,22.35768954,1,RES1,MSF1,40.3384,577
158788,91.79554305,22.35756228,1,RES1,MSF1,14.1396,577
158789,91.79560953,22.35757974,1,RES1,MSF1,14.1396,577
